wordToDisambiguate	sentence	sense1_pictoID_correct_arasaac	sense_pictoID_wsd_arasaac	sense_wolf_correct	sense_wolf_wsd_arasaac	synset_lemma_wsd_arasaac	url_wsd_arasaac	sense_wolf_wsd_sclera	synset_lemma_wsd_sclera	url_wsd_sclera	sense_wolf_wsd_beta	synset_lemma_wsd_beta	url_wsd_beta
sentir	les lésions sentent-elles mauvais ?	[2486, 6574, 25274, 25275, 30132, 30650]	[2486, 6574, 25274, 25275, 30132, 30650]	fre-30-02124748-v	fre-30-02124748-v	['flairer', 'comprendre', 'percevoir', 'renifler', 'sentir', 'arôme', 'odeur', 'odorat', 'olfaction', 'parfum']	<p> <img src="https://static.arasaac.org/pictograms/2486/2486_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/6574/6574_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/25274/25274_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/25275/25275_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/30132/30132_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/30650/30650_500.png" width="110"  heigth="110"> <p>	fre-30-02124748-v	['flairer', 'comprendre', 'percevoir', 'renifler', 'sentir', 'arôme', 'odeur', 'odorat', 'olfaction', 'parfum']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//ruiken.png" width="110"  heigth="110"> <p>	fre-30-01771535-v	['ressentir', 'éprouver', 'attrister', 'briller', 'brûler', 'décéder', 'endurer', 'enorgueillir', 'entretenir', 'féliciter', 'fier', 'lasser', 'nourrir', 'rayonner', 'regretter', 'réjouir', 'repentir', "s'énerver", 'subir', 'émotion', 'expérience', 'sentiment']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//voelen.png" width="110"  heigth="110"> <p>
foie	avez-vous une inflammation du foie ?	[2980]	[2980]	fre-30-05385534-n	fre-30-05385534-n	['viscère']	<p> <img src="https://static.arasaac.org/pictograms/2980/2980_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	[]	None	<p>  <p>
gratter	avez-vous les yeux qui grattent ?	[11356]	[11356, 37856]	fre-30-02119874-v	fre-30-02119874-v	['démanger', 'frotter', 'abrasion', 'de', 'gale', 'gale sarcoptique', 'mal', 'mal de Sainte-Marie', 'sainte-marie']	<p> <img src="https://static.arasaac.org/pictograms/11356/11356_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37856/37856_500.png" width="110"  heigth="110"> <p>	fre-30-01309143-v	['abrasion', 'balafre', 'cicatrice', 'fente']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//krabben.png" width="110"  heigth="110"> <p>	fre-30-01309143-v	['abrasion', 'balafre', 'cicatrice', 'fente']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//krabben.png" width="110"  heigth="110"> <p>
pilule	prenez-vous la pilule ?	[15000, 32041]	[15000, 32041]	fre-30-03936895-n	fre-30-03936895-n	['contraceptif', 'contraception']	<p> <img src="https://static.arasaac.org/pictograms/15000/15000_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32041/32041_500.png" width="110"  heigth="110"> <p>	fre-30-03936895-n	['contraceptif', 'contraception']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//pil-anticonceptie.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>
venir	êtes-vous déjà venu aux urgences pour ce cas ?	[11708, 13356]	[11708, 13356]	fre-30-01849221-v	fre-30-01849221-v	['approcher', 'aller', 'circuler', 'déplacer', 'marcher', 'voyager', 'aborder', 'adresser', 'émaner', 'interpeller', 'rapprocher', 'accès', 'approche']	<p> <img src="https://static.arasaac.org/pictograms/11708/11708_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/13356/13356_500.png" width="110"  heigth="110"> <p>	fre-30-01776952-v	['aimer', 'prier', 'réitérer', 'sympathique']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//hart.png" width="110"  heigth="110"> <p>	fre-30-00341917-v	['arriver', 'entrer', 'avoir lieu', 'passer', 'se dérouler', 'se passer', 'se produire', 'survenir', 'descendre', 'devenir', 'tomber', 'accès']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//worden.png" width="110"  heigth="110"> <p>
beaucoup	mangez-vous beaucoup de viande rouge ?	[7168, 22629]	[5521, 7168, 22629]	fre-30-00059171-r	fre-30-00059171-r	['souvent']	<p> <img src="https://static.arasaac.org/pictograms/5521/5521_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/7168/7168_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/22629/22629_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	[]	None	<p>  <p>
souvent	avez-vous souvent des aphtes ?	[37029]	[37029]	fre-30-00035058-r	fre-30-00035058-r	['beaucoup', 'fréquemment']	<p> <img src="https://static.arasaac.org/pictograms/37029/37029_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	[]	None	<p>  <p>
savoir	savez-vous où vous vous trouvez ?	[9034]	[14991, 14992, 14994, 34533, 34537]	fre-30-00594621-v	fre-30-01426397-v	['aimer', 'avoir', 'avoir des relations sexuelles', 'baiser', 'connaître', 'enconner', 'enculer', "faire l'amour", 'fourrer', 'foutre', 'niquer', 'apparier', 'coïter', 'devoir', 'être', 'forniquer', 'prendre', 'amant', 'amour', 'amoureux', 'bagatelle', 'baisage', 'baise', 'lit', 'merde', 'putain', 'vis']	<p> <img src="https://static.arasaac.org/pictograms/14991/14991_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/14992/14992_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/14994/14994_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/34533/34533_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/34537/34537_500.png" width="110"  heigth="110"> <p>	fre-30-00608372-v	['connaître', 'penser', 'rappeler', 'réfléchir', 'remémorer', 'se rappeler', 'se souvenir']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//idee.png" width="110"  heigth="110"> <p>	fre-30-00608372-v	['connaître', 'penser', 'rappeler', 'réfléchir', 'remémorer', 'se rappeler', 'se souvenir']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//weten.png" width="110"  heigth="110"> <p>
document	pourriez-vous me montrer un document avec votre adresse ?	[16169, 21802, 34717]	[16169, 21802]	fre-30-06477371-n_fre-30-06470073-n	fre-30-06470073-n	['papier', 'pièce', 'écriture', 'attestation', 'auteur', 'aveu', 'brevet', 'bulletin', 'capitulation', 'certificat', 'charte', 'chèque', 'confession', 'confirmation', 'copyright', 'déclaration', 'démission', 'document officiel', "droit d'auteur", 'étude', 'feuille', 'forme', 'formulaire', 'papyrus', 'plate-forme', 'plates-formes', 'programme', 'rapport', 'résignation', 'résolution', 'spécification', 'témoignage', 'urne', 'valeur', 'documentaire']	<p> <img src="https://static.arasaac.org/pictograms/16169/16169_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/21802/21802_500.png" width="110"  heigth="110"> <p>	fre-30-06470073-n	['papier', 'pièce', 'écriture', 'attestation', 'auteur', 'aveu', 'brevet', 'bulletin', 'capitulation', 'certificat', 'charte', 'chèque', 'confession', 'confirmation', 'copyright', 'déclaration', 'démission', 'document officiel', "droit d'auteur", 'étude', 'feuille', 'forme', 'formulaire', 'papyrus', 'plate-forme', 'plates-formes', 'programme', 'rapport', 'résignation', 'résolution', 'spécification', 'témoignage', 'urne', 'valeur', 'documentaire']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//administratie-3.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>
entendre	de quelle oreille entendez-vous le moins bien ?	[2381, 6572, 10364, 11609, 28659, 29718, 29719, 29720]	[2381, 2746, 6572, 10364, 11609, 28659, 29718, 29719, 29720, 32131, 35719, 35741, 37486]	fre-30-02169702-v_fre-30-02171039-v	fre-30-02169702-v	['comprendre', 'percevoir', 'atteindre', 'recevoir', 'audible', 'audition', 'ouïe', 'protecteur']	<p> <img src="https://static.arasaac.org/pictograms/2381/2381_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/2746/2746_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/6572/6572_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/10364/10364_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/11609/11609_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/28659/28659_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29718/29718_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29719/29719_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29720/29720_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32131/32131_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/35719/35719_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/35741/35741_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37486/37486_500.png" width="110"  heigth="110"> <p>	fre-30-02169702-v	['comprendre', 'percevoir', 'atteindre', 'recevoir', 'audible', 'audition', 'ouïe', 'protecteur']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//horen.png" width="110"  heigth="110"> <p>	fre-30-02169702-v	['comprendre', 'percevoir', 'atteindre', 'recevoir', 'audible', 'audition', 'ouïe', 'protecteur']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//horen.png" width="110"  heigth="110"> <p>
traduire	l'ordinateur va traduire mes questions	[37085]	[37085]	fre-30-00959827-v	fre-30-00959827-v	['interpréter', 'présenter', 'rendre', 'redire', 'reformuler', 'réitérer', 'répéter', 'retraduire', 'interprète', 'traducteur', 'traduction', 'version']	<p> <img src="https://static.arasaac.org/pictograms/37085/37085_500.png" width="110"  heigth="110"> <p>	fre-30-00959827-v	['interpréter', 'présenter', 'rendre', 'redire', 'reformuler', 'réitérer', 'répéter', 'retraduire', 'interprète', 'traducteur', 'traduction', 'version']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//tolken.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>
famille	y a-t-il des maladies particulières dans votre famille ?	[2392, 11728, 11729, 11731, 11733, 11735, 24515, 24517, 24519, 24521, 24523, 24525, 30245, 31466, 31467, 36920, 37346, 37352, 37354]	[2317, 6964]	fre-30-07970406-n	fre-30-08078020-n	['foyer', 'ménage', 'groupe', 'unité', 'famille', 'famille élargie', 'famille nucléaire', 'parenté']	<p> <img src="https://static.arasaac.org/pictograms/2317/2317_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/6964/6964_500.png" width="110"  heigth="110"> <p>	fre-30-08078020-n	['foyer', 'ménage', 'groupe', 'unité', 'famille', 'famille élargie', 'famille nucléaire', 'parenté']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//familie.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//gezin.png" width="110"  heigth="110"> <p>	fre-30-08078020-n	['foyer', 'ménage', 'groupe', 'unité', 'famille', 'famille élargie', 'famille nucléaire', 'parenté']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//familie.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/beta//gezin.png" width="110"  heigth="110"> <p>
soulager	les vomissements sont-elles soulagées par des médicaments ?	[32222, 32224]	[32220, 32221, 32222, 32223, 32224]	fre-30-00064095-v	fre-30-00064095-v	['apaiser', 'calmer', 'améliorer', 'amender', 'allégement', 'dégrèvement', 'exonération', 'palliatif', 'relief', 'soulagement']	<p> <img src="https://static.arasaac.org/pictograms/32220/32220_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32221/32221_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32222/32222_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32223/32223_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32224/32224_500.png" width="110"  heigth="110"> <p>	fre-30-01814815-v	['apaiser', 'consoler', 'dissiper', 'soulager', 'tranquilliser', 'consolation', 'lanceur de relève', 'réconfort', 'sympathisant']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//troosten.png" width="110"  heigth="110"> <p>	fre-30-01814815-v	['apaiser', 'consoler', 'dissiper', 'soulager', 'tranquilliser', 'consolation', 'lanceur de relève', 'réconfort', 'sympathisant']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//troosten.png" width="110"  heigth="110"> <p>
vomir	vomissez-vous du sang ?	[2777, 7303, 28739]	[7090, 15447, 16693, 16695]	fre-30-00076400-v	fre-30-00101956-v	['cracher', 'expectorer', 'bave', 'crachat', 'expectoration', 'hypersialorrhée', 'postillon', 'ptyalisme', 'salive']	<p> <img src="https://static.arasaac.org/pictograms/7090/7090_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/15447/15447_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/16693/16693_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/16695/16695_500.png" width="110"  heigth="110"> <p>	fre-30-00101956-v	['cracher', 'expectorer', 'bave', 'crachat', 'expectoration', 'hypersialorrhée', 'postillon', 'ptyalisme', 'salive']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//spugen.png" width="110"  heigth="110"> <p>	fre-30-00101956-v	['cracher', 'expectorer', 'bave', 'crachat', 'expectoration', 'hypersialorrhée', 'postillon', 'ptyalisme', 'salive']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//spuwen.png" width="110"  heigth="110"> <p>
mois	combien de kilos avez-vous perdu ces six derniers mois ?	[7161, 37724]	[7161, 37724]	fre-30-15207872-n_fre-30-15206296-n	fre-30-15206296-n	['lunaison', 'lune', 'mois', 'mensuel']	<p> <img src="https://static.arasaac.org/pictograms/7161/7161_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37724/37724_500.png" width="110"  heigth="110"> <p>	fre-30-15206296-n	['lunaison', 'lune', 'mois', 'mensuel']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//maand.png" width="110"  heigth="110"> <p>	fre-30-15206296-n	['lunaison', 'lune', 'mois', 'mensuel']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//maand.png" width="110"  heigth="110"> <p>
campagne	habitez-vous à la campagne ?	[2683, 10304]	[2683, 10304]	fre-30-08645033-n	fre-30-08645033-n	['contrée', 'paysage', 'campagne', 'pays']	<p> <img src="https://static.arasaac.org/pictograms/2683/2683_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/10304/10304_500.png" width="110"  heigth="110"> <p>	fre-30-08645033-n	['contrée', 'paysage', 'campagne', 'pays']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//akkers.png" width="110"  heigth="110"> <p>	fre-30-08645033-n	['contrée', 'paysage', 'campagne', 'pays']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//akker.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/beta//veld.png" width="110"  heigth="110"> <p>
consommer	consommez-vous régulièrement de la drogue ?	[2349, 28641, 30116, 30117, 30118, 30119, 30120]	[2349, 4694, 7160, 28641, 28835, 30116, 30117, 30118, 30119, 30120]	fre-30-01156834-v	fre-30-01156834-v	['prendre', 'alimenter', 'appliquer', 'avaler', 'boire', 'déjeuner', 'employer', 'essayer', 'fumer', 'goûter', 'manger', 'priser', 'remplir', 'saturer', 'tenter', 'toucher', 'utiliser', 'consommateur', 'consommation', 'ingestion', 'usager']	<p> <img src="https://static.arasaac.org/pictograms/2349/2349_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/4694/4694_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/7160/7160_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/28641/28641_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/28835/28835_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/30116/30116_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/30117/30117_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/30118/30118_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/30119/30119_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/30120/30120_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	fre-30-01156834-v	['prendre', 'alimenter', 'appliquer', 'avaler', 'boire', 'déjeuner', 'employer', 'essayer', 'fumer', 'goûter', 'manger', 'priser', 'remplir', 'saturer', 'tenter', 'toucher', 'utiliser', 'consommateur', 'consommation', 'ingestion', 'usager']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//drinken.png" width="110"  heigth="110"> <p>
visage	suez-vous au niveau du visage ?	[2684, 31915, 37138]	[2684, 31915, 37138]	fre-30-05600637-n	fre-30-05600637-n	['face', 'vis', 'physiognomonie', 'Physiognomonie', 'physionomie', 'visage', 'facial']	<p> <img src="https://static.arasaac.org/pictograms/2684/2684_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/31915/31915_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37138/37138_500.png" width="110"  heigth="110"> <p>	[]	None	<p>  <p>	fre-30-05600637-n	['face', 'vis', 'physiognomonie', 'Physiognomonie', 'physionomie', 'visage', 'facial']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//gezicht.png" width="110"  heigth="110"> <p>
légume	mangez-vous des légumes ?	[6244, 7130, 28343, 29131]	[6244, 7130, 28343, 29131]	fre-30-07707451-n_fre-30-12212361-n	fre-30-07707451-n	['végétal', 'artichaut', 'asperge', 'banane plantain', 'cardon', 'céleri', 'champignon', 'citrouille', 'concombre', 'courge', 'éponge', 'fenouil', 'légume', 'légume à racine', 'légume-racine', 'légumes verts', 'oignon', 'plantain', 'poireau', 'porreau', 'potiron', 'rhubarbe', 'truffe', 'vert']	<p> <img src="https://static.arasaac.org/pictograms/6244/6244_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/7130/7130_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/28343/28343_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29131/29131_500.png" width="110"  heigth="110"> <p>	fre-30-07707451-n	['végétal', 'artichaut', 'asperge', 'banane plantain', 'cardon', 'céleri', 'champignon', 'citrouille', 'concombre', 'courge', 'éponge', 'fenouil', 'légume', 'légume à racine', 'légume-racine', 'légumes verts', 'oignon', 'plantain', 'poireau', 'porreau', 'potiron', 'rhubarbe', 'truffe', 'vert']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//groenten.png" width="110"  heigth="110"> <p>	fre-30-07707451-n	['végétal', 'artichaut', 'asperge', 'banane plantain', 'cardon', 'céleri', 'champignon', 'citrouille', 'concombre', 'courge', 'éponge', 'fenouil', 'légume', 'légume à racine', 'légume-racine', 'légumes verts', 'oignon', 'plantain', 'poireau', 'porreau', 'potiron', 'rhubarbe', 'truffe', 'vert']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//groente.png" width="110"  heigth="110"> <p>
alimentation	avez-vous des troubles de l'alimentation ?	[4610, 32602]	[33118]	fre-30-07555863-n	fre-30-01057759-n	['nutrition', 'approvisionnement', 'gavage', 'TPN', 'alimenter', 'nourrir']	<p> <img src="https://static.arasaac.org/pictograms/33118/33118_500.png" width="110"  heigth="110"> <p>	fre-30-07555863-n	['aliment', 'familier', 'nourriture', 'solide', 'beurre', 'chocolat', 'coco', 'cocotier', 'coquillette', 'fromage', 'fruit de mer', 'Fruit de mer', 'fruits de mer', 'malbouffe', 'noix de coco', 'pâte', 'pâte alimentaire', 'pâtes', 'pâtes alimentaires', 'pêche', 'petit déjeuner', 'pois', 'poisson', 'reste', 'restes', 'viande', 'yaourt', 'yoghourt', 'yogourt']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//voeding.png" width="110"  heigth="110"> | <img src="http://webservices.ccl.kuleuven.be/picto/sclera//voeding-2.png" width="110"  heigth="110"> <p>	fre-30-07555863-n	['aliment', 'familier', 'nourriture', 'solide', 'beurre', 'chocolat', 'coco', 'cocotier', 'coquillette', 'fromage', 'fruit de mer', 'Fruit de mer', 'fruits de mer', 'malbouffe', 'noix de coco', 'pâte', 'pâte alimentaire', 'pâtes', 'pâtes alimentaires', 'pêche', 'petit déjeuner', 'pois', 'poisson', 'reste', 'restes', 'viande', 'yaourt', 'yoghourt', 'yogourt']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//voedsel.png" width="110"  heigth="110"> <p>
tomber	êtes-vous tombé ?	[4582, 6067, 29674]	[2654, 6053, 7016, 8035, 28451, 34807, 36879, 36880, 37019, 37020, 37244]	fre-30-01972298-v_fre-30-01984317-v_fre-30-01984119-v	fre-30-01970826-v	['baisser', 'descendre', 'aller', 'circuler', 'déplacer', 'marcher', 'voyager', 'causer', 'démonter', 'désarçonner', 'donner', 'enfoncer', 'éviter', 'mettre', 'monter', 'plonger', 'provoquer', 'sauter', 'sembler', 'sombrer', 'tomber', 'automne', 'baisse', 'descendant']	<p> <img src="https://static.arasaac.org/pictograms/2654/2654_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/6053/6053_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/7016/7016_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/8035/8035_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/28451/28451_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/34807/34807_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/36879/36879_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/36880/36880_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37019/37019_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37020/37020_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37244/37244_500.png" width="110"  heigth="110"> <p>	fre-30-01976841-v	['causer', 'provoquer', 'sembler', 'éviter', 'baisser', 'descendre', 'tomber', 'décliner', 'dégringoler', 'diminuer', 'cause', 'chute']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//pijl-omlaag.png" width="110"  heigth="110"> <p>	fre-30-01970826-v	['baisser', 'descendre', 'aller', 'circuler', 'déplacer', 'marcher', 'voyager', 'causer', 'démonter', 'désarçonner', 'donner', 'enfoncer', 'éviter', 'mettre', 'monter', 'plonger', 'provoquer', 'sauter', 'sembler', 'sombrer', 'tomber', 'automne', 'baisse', 'descendant']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//dalen.png" width="110"  heigth="110"> <p>
marcher	avez-vous des difficultés à marcher ?	[3251, 6044, 8649, 8651, 31839, 32214, 32693, 32694, 32908, 32944, 32945, 32946, 37345, 2432, 7079, 8142, 31758, 35093]	[3251, 6044, 8649, 8651, 26300, 29951, 29952, 31839, 32214, 32693, 32694, 32908, 32944, 32945, 32946, 37345]	fre-30-01904930-v_fre-30-01882170-v_fre-30-01835496-v	fre-30-01882170-v	['faire', 'promener', 'aller', 'circuler', 'déplacer', 'marcher', 'voyager', 'marche']	<p> <img src="https://static.arasaac.org/pictograms/3251/3251_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/6044/6044_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/8649/8649_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/8651/8651_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/26300/26300_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29951/29951_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/29952/29952_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/31839/31839_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32214/32214_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32693/32693_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32694/32694_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32908/32908_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32944/32944_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32945/32945_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/32946/32946_500.png" width="110"  heigth="110"> | <img src="https://static.arasaac.org/pictograms/37345/37345_500.png" width="110"  heigth="110"> <p>	fre-30-01835496-v	['aller', 'circuler', 'déplacer', 'voyager', 'accompagner', 'alléger', 'approcher', 'arriver', 'aspirer', 'asseoir', 'atténuer', 'avancer', 'baisser', 'changer', 'chercher', 'chevaucher', 'conduire', 'continuer', 'couler', 'courir', 'décéder', 'dépasser', 'dérailler', 'dériver', 'descendre', 'devenir', 'divaguer', 'échanger', 'errer', 'essayer', 'faire', 'flotter', 'gicler', 'glisser', 'jouer', 'labourer', 'marcher', 'méandrer', 'mesurer', 'nager', 'naviguer', 'passer', 'porter', 'poursuivre', 'pousser', 'précéder', 'précipiter', 'prendre', 'présenter', 'progresser', 'promener', 'propager', 'rabattre', 'ramper', 'rendre', 'rentrer', 'répandre', 'retirer', 'retourner', 'revenir', 'rouler', 'sauter', 'se dépêcher', 'se hâter', 'se passer', 'se retirer', 'se tromper', 'siffler', 'skier', 'solliciter', 'souffler', 'suivre', 'tendre', 'tirer', 'tomber', 'tourner', 'transformer', 'traverser', 'trouver', 'vagabonder', 'vaguer', 'venir', 'voler', 'déplacement', 'locomotion', 'mouvement', 'voyage', 'voyageur']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/sclera//wandelen.png" width="110"  heigth="110"> <p>	fre-30-01835496-v	['aller', 'circuler', 'déplacer', 'voyager', 'accompagner', 'alléger', 'approcher', 'arriver', 'aspirer', 'asseoir', 'atténuer', 'avancer', 'baisser', 'changer', 'chercher', 'chevaucher', 'conduire', 'continuer', 'couler', 'courir', 'décéder', 'dépasser', 'dérailler', 'dériver', 'descendre', 'devenir', 'divaguer', 'échanger', 'errer', 'essayer', 'faire', 'flotter', 'gicler', 'glisser', 'jouer', 'labourer', 'marcher', 'méandrer', 'mesurer', 'nager', 'naviguer', 'passer', 'porter', 'poursuivre', 'pousser', 'précéder', 'précipiter', 'prendre', 'présenter', 'progresser', 'promener', 'propager', 'rabattre', 'ramper', 'rendre', 'rentrer', 'répandre', 'retirer', 'retourner', 'revenir', 'rouler', 'sauter', 'se dépêcher', 'se hâter', 'se passer', 'se retirer', 'se tromper', 'siffler', 'skier', 'solliciter', 'souffler', 'suivre', 'tendre', 'tirer', 'tomber', 'tourner', 'transformer', 'traverser', 'trouver', 'vagabonder', 'vaguer', 'venir', 'voler', 'déplacement', 'locomotion', 'mouvement', 'voyage', 'voyageur']	<p> <img src="http://webservices.ccl.kuleuven.be/picto/beta//gaan.png" width="110"  heigth="110"> <p>
